Animal..,ARN,Species,Primary.Breed,Colors,Gender,Altered,Pre.Altered,Chip.Provider,Danger,Danger.Reason,Date.of.Birth,Intake.Age,Intake.By,Intake.Date,Intake.Type,Intake.Subtype,Intake.Reason,Intake.Site,Intake.Location,Intake.Sublocation,Intake.Jurisdiction,Intake.Condition,Intake.Agency,Agency.Member,Agency.Member.Phone,Agency.Address,Outcome.Age,Outcome.Age.in.Months,Outcome.Date,Outcome.By,Outcome.Type,Outcome.Subtype,Outcome.Site,Outcome.Location,Outcome.Sublocation,Outcome.Jurisdiction,Transfer.Out.Reason,Outcome.Agency,Released.By,Release.Date,LOS
A02718884,,Cat,Domestic Shorthair,Black/,Female,Yes,Yes,24PetWatch,No,NA,1/1/2007,11y 9m 23d,Rooney Linson,10/24/2018 9:27:26 AM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Isolation,NA,,Healthy,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,12y 1m 15d,145,2/16/2019 2:58:00 PM,Aubrey Carpenter,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Aubrey Carpenter,2/16/2019 2:58:00 PM,115
A02768588,,Cat,Domestic Shorthair,Grey/White,Male,Yes,Yes,24PetWatch,No,NA,2/1/2007,12y 3m 29d,Jill Sweeney,5/30/2019 3:05:23 PM,Stray,Public Drop Off,,Grays Ferry Avenue,Cat Room,NA,19148—South Philadelphia W,Injured,,,,,12y 5m 1d,149,7/2/2019 3:12:00 PM,Lauren Campagnini,Adoption,PAC,PAC,PAC,NA,,NA,NA,Lauren Campagnini,7/2/2019 3:12:00 PM,33
A03519780,,Cat,Domestic Shorthair,Brown/Black,Female,Yes,Yes,24PetWatch,No,NA,10/18/2006,11y 6m 14d,Rooney Linson,5/2/2018 1:17:53 PM,Return,Returned Adoption,Divorce / Separation,Grays Ferry Avenue,Cat Room,NA,PA Outside City Limits,Healthy,,,,,11y 6m 26d,138,5/14/2018 11:23:02 AM,Sara Davidson,Adoption,Grays Ferry Avenue,Grays Ferry Avenue,Cat Room,NA,19146—Schuylkill S,NA,NA,Sara Davidson,5/14/2018 11:23:02 AM,11
A03614395,,Cat,Domestic Shorthair,Black/Tan,Female,Yes,Unknown,24PetWatch,No,NA,5/16/2007,11y 7m 18d,Jill Sweeney,1/3/2019 11:33:51 AM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Healthy,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,11y 8m 2d,140,1/18/2019 4:05:16 PM,Angela Peterdi,Adoption,Grays Ferry Avenue,Grays Ferry Avenue,Cat Room,NA,19146—Schuylkill S,NA,NA,Angela Peterdi,1/18/2019 4:05:16 PM,15
A04011066,,Cat,Domestic Shorthair,Orange/Tan,Male,Yes,Yes,24PetWatch,No,NA,9/19/2007,10y 10m 13d,Jill Sweeney,8/1/2018 3:23:16 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Healthy,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,11y 2m 1d,134,11/20/2018 3:59:36 PM,Erica Henn,Adoption,Kawaii Kitty Cafe,PAWS Offsite Adoptions,Kawaii Kitty Cafe,NA,,NA,NA,Erica Henn,11/20/2018 3:59:36 PM,111
A04100512,,Cat,Domestic Shorthair,Grey/,Female,Yes,Yes,24PetWatch,No,NA,3/6/2008,10y 20d,Jill Sweeney,3/26/2018 10:30:15 AM,Stray,Public Drop Off,,Grays Ferry Avenue,Cat Room,NA,19148—South Philadelphia W,Healthy,,,,,10y 20d,120,3/26/2018 11:28:24 AM,Jill Sweeney,Adoption,Shelter,Grays Ferry Avenue,Cat Room,NA,,NA,NA,Jill Sweeney,3/26/2018 11:28:24 AM,0
A04331079,,Cat,Domestic Shorthair,White/Black,Female,Yes,Yes,24PetWatch,No,NA,3/19/2007,11y 7m 15d,Angela Peterdi,11/3/2018 4:51:00 PM,Stray,Public Drop Off,,Grays Ferry Avenue,Cat Room,NA,19146—Schuylkill S,Healthy,,,,,11y 10m 2d,142,1/21/2019 12:58:51 PM,Sara Davidson,Adoption,PAC,PAC,PAC,NA,19106—Center City-Society Hill,NA,NA,Sara Davidson,1/21/2019 12:58:51 PM,78
A04362437,,Cat,Domestic Medium Hair,Pink/White,Male,Yes,No,24PetWatch,No,NA,7/2/2007,10y 5m 27d,Michelle Robinson,12/29/2017 5:11:02 PM,Stray,Public Drop Off,,PAWS Foster Program,Foster Care - Project Meow,NA,West Philadelphia,Healthy,,,,,10y 6m 23d,126,1/25/2018 4:56:11 PM,Erica Henn,Adoption,Foster Home,PAWS Foster Program,Foster Care - Project Meow,NA,,NA,NA,Erica Henn,1/25/2018 4:56:11 PM,26
A04633585,,Cat,Domestic Shorthair,Grey/,Female,Yes,Yes,24PetWatch,No,NA,3/24/2008,28d, ,4/21/2008 8:12:00 AM,Stray,Public Drop Off,,The PACCA Legacy,PACCA Legacy,NA,North Philadelphia,Healthy,,,,,11y 19d,132,4/12/2019 6:23:00 PM,Volunteer Account,Adoption,Petsmart B and W,PAWS Offsite Adoptions,Petsmart Broad & Washington,NA,,NA,NA,Volunteer Account,4/12/2019 6:23:00 PM,4008
A04681765,,Cat,Domestic Shorthair,Brown/White,Female,Yes,Yes,24PetWatch,No,NA,5/2/2005,13y 3m 19d,Steve Ciepiela,8/21/2018 4:07:01 PM,Transfer In,Partner Transfer In,Rescue,Grant Avenue,Grant Avenue,NA,,Sick,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,14y 6m 4d,174,11/6/2019 1:53:00 PM,Emma Griffin,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Emma Griffin,11/6/2019 1:53:00 PM,441
